epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1746.45,1.08323,0.71619,1.1802,0.98252,0.94431,0.98856,0.59671,1.4101,0.55402,1.18388,0.000703961,0.000703961,0.000703961
43,1788.73,1.10331,0.70637,1.18568,0.94634,0.97411,0.98867,0.53649,1.58665,0.60592,1.25884,0.000686277,0.000686277,0.000686277
44,1830.27,1.08748,0.69533,1.1766,0.95596,0.95655,0.98442,0.51408,1.60881,0.61239,1.33337,0.000668593,0.000668593,0.000668593
45,1871.32,1.07528,0.67786,1.1799,0.94572,0.95303,0.98419,0.53424,1.61416,0.59323,1.27927,0.000650909,0.000650909,0.000650909
46,1912.54,1.06784,0.67911,1.17098,0.97579,0.94662,0.97781,0.57558,1.37527,0.58625,1.18332,0.000633226,0.000633226,0.000633226
47,1954.24,1.06052,0.67007,1.17072,0.98083,0.94582,0.98284,0.54141,1.57035,0.59333,1.28358,0.000615542,0.000615542,0.000615542
48,1996.78,1.06588,0.66739,1.16467,0.95337,0.96087,0.98095,0.54116,1.51679,0.59445,1.2498,0.000597858,0.000597858,0.000597858
49,2038.63,1.04012,0.65632,1.15349,0.96067,0.95557,0.97802,0.53078,1.66051,0.61046,1.33732,0.000580174,0.000580174,0.000580174
50,2080.21,1.03199,0.66814,1.15058,0.97909,0.95528,0.9877,0.54623,1.59156,0.60426,1.28329,0.00056249,0.00056249,0.00056249
51,2121.84,1.01772,0.62669,1.13821,0.96733,0.94095,0.98457,0.54478,1.56687,0.58755,1.27097,0.000544806,0.000544806,0.000544806
52,2164.01,1.02911,0.65594,1.14366,0.94752,0.97034,0.98543,0.60112,1.34592,0.55435,1.15664,0.000527122,0.000527122,0.000527122
53,2204.82,1.00324,0.63422,1.13196,0.96152,0.95476,0.98452,0.5716,1.45894,0.56688,1.2181,0.000509438,0.000509438,0.000509438
54,2245.3,1.01635,0.62894,1.13868,0.97775,0.95021,0.98668,0.58109,1.38045,0.53207,1.18736,0.000491755,0.000491755,0.000491755
55,2286.18,1.01061,0.62648,1.13393,0.97427,0.97295,0.98867,0.58485,1.46982,0.54656,1.22596,0.000474071,0.000474071,0.000474071
56,2327.18,1.01153,0.62539,1.14266,0.94979,0.97045,0.98876,0.60688,1.33782,0.54058,1.16198,0.000456387,0.000456387,0.000456387
57,2369.3,1.00657,0.60832,1.13692,0.96468,0.95485,0.98421,0.57716,1.44223,0.55953,1.19884,0.000438703,0.000438703,0.000438703
58,2410.54,0.98212,0.605,1.12655,0.97386,0.94799,0.98416,0.63112,1.26501,0.50569,1.1194,0.000421019,0.000421019,0.000421019
59,2451.74,0.9661,0.60042,1.11866,0.94844,0.95833,0.97601,0.5874,1.39114,0.56422,1.18432,0.000403335,0.000403335,0.000403335
60,2493.08,0.95779,0.57719,1.10843,0.96495,0.96356,0.98653,0.62439,1.26769,0.51282,1.12394,0.000385651,0.000385651,0.000385651
61,2534.09,0.95895,0.57992,1.10514,0.98762,0.95448,0.98314,0.56704,1.49072,0.56276,1.24603,0.000367967,0.000367967,0.000367967
62,2575.7,0.9275,0.57336,1.09861,0.96497,0.95177,0.98535,0.5431,1.58255,0.58426,1.30102,0.000350284,0.000350284,0.000350284
63,2616.88,0.9488,0.57386,1.10316,0.96621,0.95092,0.98358,0.60664,1.35573,0.544,1.18079,0.0003326,0.0003326,0.0003326
64,2657.92,0.93009,0.57401,1.09777,0.98006,0.95888,0.98618,0.58703,1.44622,0.5469,1.20697,0.000314916,0.000314916,0.000314916
65,2698.8,0.91814,0.56908,1.08987,0.9585,0.93825,0.97821,0.59635,1.38153,0.54807,1.18164,0.000297232,0.000297232,0.000297232
66,2739.73,0.92912,0.56245,1.09581,0.98632,0.96106,0.98641,0.56709,1.50124,0.55833,1.24552,0.000279548,0.000279548,0.000279548
67,2781.24,0.91293,0.58331,1.08936,0.96779,0.95383,0.98511,0.54456,1.56263,0.56391,1.28455,0.000261864,0.000261864,0.000261864
68,2822.15,0.90305,0.53721,1.08222,0.98016,0.94803,0.98803,0.56918,1.47752,0.5383,1.23184,0.00024418,0.00024418,0.00024418
69,2862.96,0.89595,0.54196,1.0776,0.96433,0.97045,0.98702,0.55763,1.54685,0.54716,1.27198,0.000226497,0.000226497,0.000226497
70,2903.66,0.8842,0.5233,1.07318,0.96985,0.96032,0.98752,0.57141,1.46726,0.54512,1.23602,0.000208813,0.000208813,0.000208813
71,2945.85,0.88383,0.45444,1.07112,0.97275,0.92377,0.97805,0.56384,1.47797,0.57611,1.23455,0.000191129,0.000191129,0.000191129
72,2986.85,0.8545,0.45864,1.05275,0.9719,0.94799,0.98664,0.59892,1.36883,0.52027,1.17995,0.000173445,0.000173445,0.000173445
73,3026.88,0.85111,0.43094,1.0647,0.97631,0.9549,0.98681,0.56833,1.48346,0.53342,1.23382,0.000155761,0.000155761,0.000155761
74,3066.77,0.84244,0.41963,1.05387,0.97255,0.95313,0.98782,0.57178,1.46315,0.53219,1.22885,0.000138077,0.000138077,0.000138077
75,3106.91,0.81553,0.41662,1.0439,0.96979,0.95715,0.98693,0.6144,1.34863,0.51675,1.16351,0.000120393,0.000120393,0.000120393
76,3147.35,0.82098,0.4156,1.04098,0.97709,0.96192,0.98851,0.58085,1.47442,0.53025,1.23495,0.000102709,0.000102709,0.000102709
77,3187.79,0.8106,0.40816,1.03044,0.97431,0.95986,0.98611,0.58491,1.45637,0.52839,1.22513,8.50255e-05,8.50255e-05,8.50255e-05
78,3228.03,0.78783,0.40357,1.02697,0.97152,0.96008,0.98551,0.59582,1.41279,0.52049,1.20466,6.73416e-05,6.73416e-05,6.73416e-05
79,3268.72,0.7845,0.43972,1.02491,0.97213,0.95749,0.98645,0.5963,1.3997,0.51989,1.19399,4.96578e-05,4.96578e-05,4.96578e-05
80,3309.76,0.78222,0.40041,1.03093,0.97365,0.96321,0.98665,0.59286,1.4197,0.52135,1.20708,3.19739e-05,3.19739e-05,3.19739e-05
