Time,Vehicle#,Type,Light,Violation
12:33:52,182,car,unknown,NO
12:33:52,183,car,unknown,NO
12:33:52,184,car,unknown,NO
12:33:52,185,car,unknown,NO
12:33:52,186,motorcycle,unknown,NO
12:33:53,187,car,unknown,NO
12:33:53,188,car,unknown,NO
12:33:53,189,car,unknown,NO
12:33:53,190,car,unknown,NO
12:33:53,191,car,unknown,NO
12:33:53,192,car,unknown,NO
12:33:53,193,motorcycle,unknown,NO
12:33:54,194,motorcycle,unknown,NO
12:33:54,195,motorcycle,unknown,NO
12:33:54,196,car,unknown,NO
12:33:54,197,car,unknown,NO
12:33:54,198,car,unknown,NO
12:33:54,199,car,unknown,NO
12:33:54,200,car,unknown,NO
12:33:55,201,car,unknown,NO
12:33:55,202,car,unknown,NO
12:33:55,203,car,unknown,NO
12:33:55,204,car,unknown,NO
12:33:55,205,car,unknown,NO
12:33:55,206,car,unknown,NO
12:33:55,207,motorcycle,unknown,NO
12:33:56,208,motorcycle,unknown,NO
12:33:56,209,motorcycle,unknown,NO
12:33:56,210,motorcycle,unknown,NO
12:33:56,211,motorcycle,unknown,NO
12:33:56,212,motorcycle,unknown,NO
12:33:56,213,car,unknown,NO
12:33:57,214,car,unknown,NO
12:33:57,215,car,unknown,NO
12:33:57,216,car,unknown,NO
12:33:57,217,car,unknown,NO
12:33:57,218,car,unknown,NO
12:33:57,219,car,unknown,NO
12:33:57,220,car,unknown,NO
12:33:58,221,car,unknown,NO
12:33:58,222,motorcycle,unknown,NO
12:33:58,223,motorcycle,unknown,NO
12:33:58,224,car,unknown,NO
12:33:58,225,car,unknown,NO
12:33:58,226,car,unknown,NO
12:33:59,227,car,unknown,NO
12:33:59,228,car,unknown,NO
12:33:59,229,car,unknown,NO
12:33:59,230,car,unknown,NO
12:33:59,231,car,unknown,NO
12:33:59,232,car,unknown,NO
12:33:59,233,car,unknown,NO
12:34:00,234,car,unknown,NO
12:34:00,235,car,unknown,NO
12:34:00,236,motorcycle,unknown,NO
12:34:00,237,motorcycle,unknown,NO
12:34:00,238,motorcycle,unknown,NO
12:34:00,239,motorcycle,unknown,NO
12:34:00,240,motorcycle,unknown,NO
12:34:01,241,motorcycle,unknown,NO
12:34:01,242,car,unknown,NO
12:34:01,243,car,unknown,NO
12:34:01,244,car,unknown,NO
12:34:01,245,motorcycle,unknown,NO
12:34:01,246,car,unknown,NO
12:34:01,247,car,unknown,NO
12:34:02,248,car,unknown,NO
12:34:02,249,car,unknown,NO
12:34:02,250,car,unknown,NO
12:34:02,251,car,unknown,NO
12:34:02,252,car,unknown,NO
12:34:02,253,car,unknown,NO
12:34:02,254,motorcycle,unknown,NO
12:34:03,255,motorcycle,unknown,NO
12:34:03,256,motorcycle,unknown,NO
12:34:03,257,car,unknown,NO
12:34:03,258,car,unknown,NO
12:34:03,259,car,unknown,NO
12:34:03,260,car,unknown,NO
12:34:03,261,car,unknown,NO
12:34:04,262,car,unknown,NO
12:34:04,263,car,unknown,NO
12:34:04,264,car,unknown,NO
12:34:04,265,car,unknown,NO
12:34:04,266,car,unknown,NO
12:34:04,267,car,unknown,NO
12:34:05,268,car,unknown,NO
12:34:05,269,car,unknown,NO
12:34:05,270,car,unknown,NO
12:34:05,271,car,unknown,NO
12:34:05,272,car,unknown,NO
12:34:05,273,car,unknown,NO
12:34:05,274,car,unknown,NO
12:34:06,275,car,unknown,NO
12:34:06,276,car,unknown,NO
12:34:06,277,car,unknown,NO
12:34:06,278,car,unknown,NO
12:34:06,279,car,unknown,NO
12:34:06,280,car,unknown,NO
12:34:06,281,car,unknown,NO
12:34:07,282,car,unknown,NO
12:34:07,283,car,unknown,NO
12:34:07,284,car,unknown,NO
12:34:07,285,car,unknown,NO
12:34:07,286,car,unknown,NO
12:34:07,287,car,unknown,NO
12:34:07,288,car,unknown,NO
12:34:08,289,car,unknown,NO
12:34:08,290,car,unknown,NO
12:34:08,291,car,unknown,NO
12:34:08,292,car,unknown,NO
12:34:08,293,car,unknown,NO
12:34:08,294,car,unknown,NO
12:34:08,295,car,unknown,NO
12:34:09,296,car,unknown,NO
12:34:09,297,car,unknown,NO
12:34:09,298,car,unknown,NO
12:34:09,299,car,unknown,NO
12:34:09,300,car,unknown,NO
12:34:09,301,car,unknown,NO
12:34:10,302,car,unknown,NO
12:34:25,303,motorcycle,unknown,NO
12:34:25,304,motorcycle,unknown,NO
12:35:04,305,truck,unknown,NO
